Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_hours,Duration_minutes,Duration_total_mins
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20:00,01:10,2h 50m,0,no info,3897,2,50,170
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50:00,13:15,7h 25m,2,no info,7662,7,25,445
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25:00,04:25,19h,2,no info,13882,19,0,1140
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05:00,23:30,5h 25m,1,no info,6218,5,25,325
IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50:00,21:35,4h 45m,1,no info,13302,4,45,285
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00:00,11:25,2h 25m,0,no info,3873,2,25,145
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55:00,10:25,15h 30m,1,in-flight meal not included,11087,15,30,930
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:00:00,05:05,21h 5m,1,no info,22270,21,5,1265
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,08:55:00,10:25,25h 30m,1,in-flight meal not included,11087,25,30,1530
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25:00,19:15,7h 50m,1,no info,8625,7,50,470
Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45:00,23:00,13h 15m,1,no info,8907,13,15,795
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20:00,22:55,2h 35m,0,no info,4174,2,35,155
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40:00,13:55,2h 15m,0,no info,4667,2,15,135
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,09:20,12h 10m,1,in-flight meal not included,9663,12,10,730
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15:00,19:50,2h 35m,0,no info,4804,2,35,155
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40:00,19:15,26h 35m,2,no info,14011,26,35,1595
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1,no info,5830,4,30,270
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00:00,12:35,22h 35m,1,in-flight meal not included,10262,22,35,1355
Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15:00,19:15,23h,2,no info,13381,23,0,1380
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00:00,12:35,20h 35m,1,in-flight meal not included,12898,20,35,1235
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10:00,19:20,5h 10m,1,no info,19495,5,10,310
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00:00,13:20,15h 20m,1,no info,6955,15,20,920
IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,0,no info,3943,2,50,170
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55:00,21:50,2h 55m,0,no info,4823,2,55,175
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,08:15,13h 20m,1,in-flight meal not included,7757,13,20,800
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25:00,12:35,15h 10m,2,no info,13292,15,10,910
IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50:00,03:35,5h 45m,1,no info,8238,5,45,345
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1,no info,7682,5,55,355
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45:00,12:35,2h 50m,0,no info,4668,2,50,170
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,0,no info,3687,2,15,135
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,0,no info,3687,2,15,135
Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50:00,23:15,13h 25m,2,no info,13227,13,25,805
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,0,no info,4423,2,50,170
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35:00,12:35,22h,2,in-flight meal not included,10919,22,0,1320
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05:00,12:35,5h 30m,1,in-flight meal not included,12373,5,30,330
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1,no info,5894,10,25,625
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05:00,20:20,5h 15m,1,no info,4649,5,15,315
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15:00,16:45,2h 30m,0,no info,6245,2,30,150
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,07:00:00,13:15,6h 15m,1,no info,19225,6,15,375
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1,no info,14924,11,55,715
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05:00,18:10,11h 5m,1,no info,9646,11,5,665
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45:00,15:15,8h 30m,1,no info,8714,8,30,510
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55:00,19:00,22h 5m,1,in-flight meal not included,12373,22,5,1325
Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10:00,13:55,2h 45m,0,no info,3383,2,45,165
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00:00,21:00,12h,1,no info,13062,12,0,720
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45:00,08:35,2h 50m,0,no check-in baggage included,3527,2,50,170
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,0,no info,3943,2,50,170
Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40:00,13:55,2h 15m,0,no info,4667,2,15,135
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00:00,11:05,16h 5m,1,no info,6117,16,5,965
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,19:00,19h 55m,2,in-flight meal not included,11150,19,55,1195
Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00:00,14:15,3h 15m,0,in-flight meal not included,7202,3,15,195
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,10:55,25h 20m,1,no info,12121,25,20,1520
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20:00,01:10,2h 50m,0,no info,4377,2,50,170
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15:00,00:15,3h,0,no info,3943,3,0,180
Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55:00,02:45,2h 50m,0,no info,4483,2,50,170
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45:00,12:00,16h 15m,1,no info,14231,16,15,975
Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50:00,23:55,15h 5m,2,no info,17345,15,5,905
Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,0,no info,7414,2,15,135
Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00:00,01:30,6h 30m,1,no info,8073,6,30,390
Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40:00,16:45,25h 5m,1,no info,12395,25,5,1505
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25:00,21:50,12h 25m,1,no info,8366,12,25,745
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05:00,09:25,27h 20m,1,no info,5117,27,20,1640
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,08:45:00,19:00,10h 15m,1,no info,12524,10,15,615
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00:00,01:30,10h 30m,1,no info,7191,10,30,630
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,0,no info,3687,2,15,135
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1,no info,5894,10,25,625
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45:00,12:35,2h 50m,0,no info,5403,2,50,170
Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55:00,15:25,1h 30m,0,no info,3625,1,30,90
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2,no info,10861,13,20,800
IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20:00,15:35,2h 15m,0,no info,6297,2,15,135
Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,0,no info,5678,1,25,85
Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,05:45:00,08:15,26h 30m,1,in-flight meal not included,9134,26,30,1590
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40:00,19:00,7h 20m,1,in-flight meal not included,10791,7,20,440
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,12:35,13h 30m,2,no info,12819,13,30,810
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05:00,10:05,5h,1,no info,6893,5,0,300
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50:00,12:35,2h 45m,0,no info,7240,2,45,165
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40:00,14:30,2h 50m,0,no info,3898,2,50,170
IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25:00,07:55,1h 30m,0,no info,4049,1,30,90
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30:00,12:35,19h 5m,1,in-flight meal not included,10262,19,5,1145
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20:00,10:35,2h 15m,0,no check-in baggage included,3332,2,15,135
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,12:00,14h 50m,1,in-flight meal not included,10844,14,50,890
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55:00,22:35,2h 40m,0,no info,7229,2,40,160
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30:00,04:40,22h 10m,1,no info,13941,22,10,1330
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25:00,21:00,9h 35m,1,no info,5894,9,35,575
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00:00,19:00,10h,1,no info,10197,10,0,600
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,14:05:00,11:25,21h 20m,1,in-flight meal not included,13712,21,20,1280
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1,no info,5636,5,25,325
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40:00,04:25,18h 45m,2,no info,13014,18,45,1125
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1,in-flight meal not included,7064,12,20,740
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25:00,14:25,18h,1,in-flight meal not included,10703,18,0,1080
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15:00,22:30,9h 15m,1,no info,9646,9,15,555
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15:00,13:20,11h 5m,1,no info,17057,11,5,665
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,16:55:00,10:25,17h 30m,1,no info,13817,17,30,1050
Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2,no info,13748,13,20,800
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45:00,23:20,2h 35m,0,no info,4880,2,35,155
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15:00,07:40,2h 25m,0,no info,3540,2,25,145
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,0,no check-in baggage included,3257,2,40,160
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50:00,22:50,3h,0,in-flight meal not included,6478,3,0,180
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,0,no info,8040,1,25,85
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00:00,12:35,16h 35m,2,no info,14300,16,35,995
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1,no info,14781,12,20,740
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,08:15,12h 15m,1,no info,14939,12,15,735
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55:00,04:25,7h 30m,1,in-flight meal not included,10262,7,30,450
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35:00,14:35,24h,1,no info,6528,24,0,1440
Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10:00,08:55,2h 45m,0,no info,6121,2,45,165
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30:00,04:25,8h 55m,2,in-flight meal not included,13029,8,55,535
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40:00,18:50,7h 10m,1,no info,11421,7,10,430
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45:00,19:15,14h 30m,1,no info,7574,14,30,870
Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55:00,19:15,30h 20m,2,no info,11596,30,20,1820
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,19:00,19h 55m,2,no info,15129,19,55,1195
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05:00,05:05,15h,1,no info,13555,15,0,900
IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55:00,21:50,2h 55m,0,no info,5780,2,55,175
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20:00,09:05,12h 45m,1,no info,9397,12,45,765
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15:00,04:25,10h 10m,1,no info,17024,10,10,610
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1,no info,5281,5,55,355
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05:00,22:30,15h 25m,1,no info,10348,15,25,925
Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20:00,09:25,16h 5m,1,no info,12677,16,5,965
